"key","scientificName","decimalLatitude","decimalLongitude","country","locality","eventDate","basisOfRecord","coordinateUncertaintyInMeters","issues"
"5108261899","Pachypodium rosulatum Baker",-22.55931,45.373112,"Madagascar",NA,"2025-03-29T08:53:21","HUMAN_OBSERVATION",NA,"cdc,cdround"
"5108268955","Pachypodium rosulatum Baker",-22.559322,45.373136,"Madagascar",NA,"2025-03-29T08:52:56","HUMAN_OBSERVATION",NA,"cdc,cdround"
"5108335498","Pachypodium rosulatum Baker",-22.543753,45.383952,"Madagascar",NA,"2025-03-29T12:26:20","HUMAN_OBSERVATION",NA,"cdc,cdround"
